Model,FoldIndex,Retrained,TargetShift,PeriodStart,PeriodEnd,TrainWindowStart,TrainWindowEnd,TrainIntervals,TestIntervals,ValidationIntervals,BestIteration,BestDevScore,Longs,Shorts,GrossExposure,PeriodReturn
catboost,0,True,0,2023-11-11,2023-12-08,2021-12-11,2023-11-10,67,15,15,22,0.2796391616684545,"PYPL,FTV,IWM",,0.6584094850627187,0.05368870892568656
catboost,1,False,0,2023-12-09,2024-01-05,2021-12-11,2023-12-08,70,15,16,22,0.2796391616684545,"PG,ABBV,VRSK",,0.9136687568121504,0.017344087004305564
catboost,2,False,0,2024-01-06,2024-02-02,2021-12-11,2024-01-05,73,16,16,22,0.2796391616684545,"PG,EG,UNH",,0.9502111407030334,0.014068016865915967
catboost,3,True,0,2024-02-03,2024-03-01,2021-12-11,2024-02-02,76,16,17,62,0.26552019488183864,"PLTR,DXC,UNH",,1.0,0.15167602126432422
catboost,4,False,0,2024-03-02,2024-03-29,2021-12-11,2024-03-01,79,17,17,62,0.26552019488183864,"IEF,SEGA.L,TLT",,1.0,0.006425269546026957
catboost,5,False,0,2024-03-30,2024-04-26,2021-12-11,2024-03-29,81,18,18,62,0.26552019488183864,"META,URI,INDA",,1.0,-0.03428416726718164
catboost,6,True,0,2024-04-27,2024-05-24,2021-12-11,2024-04-26,84,18,19,2,0.2780754616115265,"VRSK,EWY,SLV",,0.25,0.02077416966299328
catboost,7,False,0,2024-05-25,2024-06-21,2021-12-11,2024-05-24,87,19,19,2,0.2780754616115265,"SLV,BDX,AIZ",,0.27273127506154293,-0.0012940713329834264
catboost,8,False,0,2024-06-22,2024-07-19,2021-12-11,2024-06-21,90,19,20,2,0.2780754616115265,"SLV,KR,AXP",,0.25,0.010725278386173986
catboost,9,True,0,2024-07-20,2024-08-16,2021-12-11,2024-07-19,93,20,20,0,0.27638346154327165,"EWL,EWQ,EWU",,0.25,0.002329262633383733
catboost,10,False,0,2024-08-17,2024-09-13,2021-12-11,2024-08-16,95,21,21,0,0.27638346154327165,"AEP,PPL,EWQ",,0.25,0.008806726759686523
catboost,11,False,0,2024-09-14,2024-10-11,2021-12-11,2024-09-13,98,21,22,0,0.27638346154327165,"AEP,AVB,HIG",,0.25,-0.009025956830706838
catboost,12,True,0,2024-10-12,2024-11-08,2021-12-11,2024-10-11,101,22,22,55,0.2799908540197272,"HIGH.L,ABBV,IEF",,0.8567568939570203,0.005756268026338107
catboost,13,False,0,2024-11-09,2024-12-06,2021-12-11,2024-11-08,104,22,23,55,0.2799908540197272,"COP,AVY,AMZN",,0.8738110345816674,0.0031627545784891353
catboost,14,False,0,2024-12-07,2025-01-03,2021-12-11,2024-12-06,107,23,23,55,0.2799908540197272,"BDX,CNC,ALLE",,0.9544745015920597,-0.0009472313950477096
catboost,15,True,0,2025-01-04,2025-01-31,2022-01-08,2025-01-03,107,23,23,64,0.2895969146400285,"PLTR,EWZ,CNC",,0.9379431602599453,0.0703859561190241
catboost,16,False,0,2025-02-01,2025-02-28,2022-02-05,2025-01-31,107,23,23,64,0.2895969146400285,"AMZN,URI,INDA",,0.7712574469102806,-0.07450865551318897
catboost,17,False,0,2025-03-01,2025-03-28,2022-03-05,2025-02-28,107,23,23,64,0.2895969146400285,"PLTR,CHTR,NVDA",,1.0,0.0011576762088998382
catboost,18,True,0,2025-03-29,2025-04-25,2022-04-02,2025-03-28,107,23,23,71,0.26816992649246885,"SOUN,PYPL,AMAT",,0.9910300508025438,0.07329679170951908
catboost,19,False,0,2025-04-26,2025-05-23,2022-04-30,2025-04-25,107,23,23,71,0.26816992649246885,"AXP,DXC,CDW",,0.9858737015479979,0.0541172591047816
catboost,20,False,0,2025-05-24,2025-06-20,2022-05-28,2025-05-23,107,23,23,71,0.26816992649246885,"V,ABBV,HST",,0.6535066552422786,-0.009794510977370718
catboost,21,True,0,2025-06-21,2025-07-18,2022-06-25,2025-06-20,107,23,23,71,0.26816276247554266,"COP,BR,GOOG",,0.8531870557805632,0.032251972624886216
catboost,22,False,0,2025-07-19,2025-08-15,2022-07-23,2025-07-18,107,23,23,71,0.26816276247554266,"NVDA,SW,BF-B",,1.0,0.025889658941485205
catboost,23,False,0,2025-08-16,2025-09-12,2022-08-20,2025-08-15,107,23,23,71,0.26816276247554266,"COP,CTAS,BMY",,0.7857112227795027,-0.029095586723469347
catboost,24,True,0,2025-09-13,2025-10-10,2022-09-17,2025-09-12,107,23,23,48,0.2699291827065025,"CZR,AMZN,SW",,0.723794750524932,-0.07406915995484642
catboost,25,False,0,2025-10-11,2025-11-07,2022-10-15,2025-10-10,107,23,23,48,0.2699291827065025,"NVDA,UNH,PYPL",,0.8468123606991307,-0.036991064536583296
catboost,26,False,0,2025-11-08,2025-12-05,2022-11-12,2025-11-07,107,23,23,48,0.2699291827065025,"PYPL,ACN,DXC",,0.9481998700060712,0.02405268388443549
catboost,27,True,0,2025-12-06,2026-01-02,2022-12-10,2025-12-05,107,23,23,51,0.264445352055391,"CE,DXC,ACN",,0.7886629794991418,0.003295948625424039
catboost,28,False,0,2026-01-03,2026-01-30,2023-01-07,2026-01-02,107,23,23,51,0.264445352055391,"NVDA,CHTR,QBTS",,0.6338472553059038,-0.06982889607086151
catboost,29,False,0,2026-01-31,2026-02-27,2023-02-04,2026-01-30,107,23,23,51,0.264445352055391,"AMAT,AMZN,NVDA",,1.0,-0.017453076491287023
catboost,30,True,0,2026-02-28,2026-03-27,2023-03-04,2026-02-27,107,23,23,91,0.29099013743307023,"NVDA,BF-B,SW",,0.8938034131758099,-0.09889093948826666
